tie_line,phase1_x_2-phenylethanol,phase1_x_camphor,phase1_x_carvone,phase1_x_water4C_aparicio2007,phase1_w_2-phenylethanol,phase1_w_camphor,phase1_w_carvone,phase1_w_water4C_aparicio2007,phase2_x_2-phenylethanol,phase2_x_camphor,phase2_x_carvone,phase2_x_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_camphor,phase2_w_carvone,phase2_w_water4C_aparicio2007
1,0.0019347549978633808,9.221999852976545e-06,4.145693019081777e-06,0.9980518773092646,0.01297605824205123,7.707493076074947e-05,3.4191069265538324e-05,0.9869126757579224,0.41426125116184365,0.22852696164547642,0.22864031941161067,0.12857146778106926,0.4146112973340215,0.28502009989700283,0.28139629229360436,0.018972310475371217
2,0.0015254935608009714,1.0639255675907384e-05,4.5238194375798515e-06,0.9984593433640856,0.010255077625272616,8.91273599273355e-05,3.739663875661019e-05,0.9896183983760434,0.28750995536123497,0.3099535358449932,0.3100441401261731,0.0924923686675989,0.2690385439594698,0.3614343586040167,0.3567663439081572,0.012760753528356298
3,0.0012868873027724965,1.1262215494074972e-05,4.672993699488411e-06,0.998697177488034,0.008662852759135397,9.447468950737152e-05,3.868248323883816e-05,0.9912039900681183,0.22034179478867394,0.35153901061765425,0.35161120556976727,0.07650798902390461,0.1999346504083308,0.3974989029807676,0.39233100054789005,0.01023544606301153
4,0.0011225410630294923,1.1617481870390053e-05,4.7537169795315434e-06,0.9988610877381207,0.00756364397069894,9.754658459679514e-05,3.9387724956348364e-05,0.9922994217197479,0.17881514627626444,0.37686632565762995,0.37692544081264695,0.06739308725345859,0.159387538505717,0.41860905474848326,0.4131466602277719,0.008856746518027762
5,0.0009998773146326005,1.1848026422028994e-05,4.804291412880737e-06,0.9989834703675325,0.006741876399855009,9.955230235673757e-05,3.983475469829182e-05,0.9931187365430899,0.15057714628863295,0.3939531816356099,0.3940027578802422,0.06146691419551489,0.1326588878194895,0.43250698462085446,0.42684999933945456,0.007984128220201416
6,0.0009037515038737204,1.2009916886967253e-05,4.838844838438093e-06,0.9990793997344009,0.006097088864995674,0.0001009682239923223,4.014337864451635e-05,0.9937617995323675,0.1301106370949224,0.4062789070084693,0.4063212733266293,0.05728918256997898,0.11368383432566649,0.44236566225436635,0.4365703169094391,0.007380186510528065
7,0.0008258725863907058,1.212987012489865e-05,4.863862813349131e-06,0.999157133680671,0.005574175756560538,0.00010202226984926115,4.036896902146284e-05,0.9942834330045688,0.11458433054407206,0.41560074452781287,0.41563748720345783,0.05417743772465718,0.09950158430373683,0.44973046125605665,0.44383158800799555,0.006936366432211003
8,0.000761216130640857,1.2222296223387671e-05,4.882752342097425e-06,0.9992216788207936,0.005139689030136774,0.00010283782652240555,4.054079783936299e-05,0.9947169323455015,0.10239548773374962,0.42290344908607097,0.4229356895262374,0.051765373653942036,0.0884921820773873,0.45544562618883,0.449466319406822,0.006595872326960838
9,0.0007065165477839288,1.229567204302308e-05,4.897476910063139e-06,0.999276290303263,0.004771859916270098,0.00010348772551203662,4.067583514025527e-05,0.9950839765230776,0.09256832862663356,0.42878243865011595,0.4288109962175486,0.049838236505701794,0.07969358585202183,0.46001199842371393,0.4539683687121863,0.006326047012077893
10,0.0006595392318515359,1.235531554108774e-05,4.9092472879972674e-06,0.9993231962053193,0.00445577495514608,0.0001040178034715511,4.0784604620375516e-05,0.9953994226367621,0.08447447675147497,0.4336192479554114,0.4336447384364408,0.04826153685667283,0.0724979468788955,0.46374578198565086,0.4576495210511646,0.006106750084289032
11,0.0006186932911673975,1.2404734568110244e-05,4.918850340813226e-06,0.9993639831239236,0.004180806015578575,0.00010445838563302239,4.087398236177382e-05,0.9956738616164266,0.07769080792461854,0.4376698378043542,0.4376927352143752,0.04694661905665212,0.06650208907146545,0.466856588198104,0.46071645343779666,0.005924869292634108
12,0.000582809639246621,1.2446336579719964e-05,4.926818819951633e-06,0.9993998172053538,0.003939135942358323,0.00010483034313267193,4.09486480819252e-05,0.995915085066427,0.07192186316561949,0.4411124274556239,0.44113310422356383,0.04583260515519287,0.06142791483911865,0.4694889344879073,0.46331165745357084,0.005771493219403379
13,0.0005510069024077664,1.2481829712396207e-05,4.93352615247808e-06,0.9994315777417273,0.003724866754475528,0.0001051485236213102,4.101189821952095e-05,0.9961289728236836,0.06695501061373721,0.44407499185078864,0.44409374579233535,0.04487625174313879,0.05707731385731491,0.47174573559658745,0.4655366035732133,0.005640346972884324
14,0.0005226061494720687,1.2512459524241605e-05,4.939241561601221e-06,0.9994599421494421,0.0035334519896507988,0.0001054237809876308,4.1066120690766086e-05,0.9963200581086707,0.06263328072135432,0.4466518388266499,0.44666891176197526,0.044045968690020434,0.05330528858070427,0.473702293992976,0.4674655365235778,0.0055268809027421316
15,0.0004970745541236609,1.2539154701885415e-05,4.944163532769019e-06,0.9994854421276417,0.003361321319692177,0.00010566422750247644,4.111308433104174e-05,0.9964919013684744,0.05883824382641705,0.44891401217756877,0.448929603101895,0.04331814089411917,0.05000324512538758,0.47541499252007113,0.46915404654539467,0.005427715809146535
16,0.00047398762024102677,1.2562622887473764e-05,4.948441850896583e-06,0.9995085013150207,0.0032056286929011903,0.0001058760582765138,4.115412977785265e-05,0.9966473411190445,0.055478849453607156,0.4509160727864492,0.45093034739701127,0.042674730362932435,0.04708822521362169,0.4769268963782969,0.47064459305296874,0.0053402853551125316
