tie_line,phase1_x_2-phenylethanol,phase1_x_camphor,phase1_x_eugenol,phase1_x_water4C_aparicio2007,phase1_w_2-phenylethanol,phase1_w_camphor,phase1_w_eugenol,phase1_w_water4C_aparicio2007,phase2_x_2-phenylethanol,phase2_x_camphor,phase2_x_eugenol,phase2_x_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_camphor,phase2_w_eugenol,phase2_w_water4C_aparicio2007
1,0.0015383758229527273,1.0125800823957023e-05,4.284655464483385e-06,0.9984472137207588,0.010340937814627145,8.481996411697677e-05,3.8713061252156735e-05,0.9895355291600036,0.3736129025434295,0.20167749439105415,0.2017919302498436,0.2229176728156727,0.402150857710961,0.27051776693639445,0.2919544214219041,0.035376953930740605
2,0.0010074703055256548,1.1589881274320258e-05,5.8841274946104195e-06,0.9989750556857054,0.00679270581581669,9.737798018760686e-05,5.3325723283972254e-05,0.9930565904807117,0.25144070301680915,0.26385323952566936,0.2639243553698777,0.22078170208764367,0.25987504081037716,0.3398307252129364,0.3666507574025287,0.033643476574157644
3,0.000749087553039266,1.217360076338611e-05,6.73740500565537e-06,0.9992320014411917,0.005058057634511185,0.00010243337235879206,6.114880530722483e-05,0.9947783601878228,0.18939227315906954,0.2940948078879515,0.2941437496855209,0.22236916926745806,0.192464989477865,0.3724329218986546,0.40178455386715956,0.03331753475632076
4,0.0005961905089834131,1.2487287946108044e-05,7.266275493882851e-06,0.9993840559275766,0.00402917204054912,0.00010516472807255342,6.600650564662184e-05,0.9957996567257318,0.15189550273085525,0.31200099031497347,0.31203731937754986,0.22406618757662145,0.15294260202600768,0.3914810593286859,0.42231278181024673,0.0332635568350598
5,0.0004951322601798087,1.2683219896371643e-05,7.625716048884703e-06,0.9994845588038749,0.003348135567540347,0.00010687658202321135,6.931170297023603e-05,0.9964756761474662,0.12679036161897067,0.3238464305762194,0.32387479264390784,0.22548841516090196,0.12692609284628506,0.4039940872001497,0.4357987172547492,0.03328110269881596
6,0.00042337086703557084,1.2817283740101541e-05,7.885744604120185e-06,0.9995559261046202,0.002864053618777296,0.000108050653046083,7.170459883135915e-05,0.9969561911293453,0.10880630932239155,0.33226473973990445,0.3322876689985604,0.2266412819391436,0.10849004746283572,0.4128490590298535,0.44534253169763177,0.03331836180967898
7,0.00036977924368275815,1.2914818014160109e-05,8.082530394184419e-06,0.9996092234079089,0.002502280279786074,0.00010890628347081544,7.351651283280222e-05,0.9973152969239103,0.09529009896804187,0.3385560107502211,0.3385750208974961,0.2275788693842409,0.09473795609803472,0.4194478618759486,0.452454878829702,0.033359303196314624
8,0.0003282318545471653,1.2988978030579577e-05,8.236617024460558e-06,0.9996505425503978,0.0022216594084729937,0.00010955771333711119,7.493587029991583e-05,0.9975938470078899,0.08476083258032643,0.3434363066228678,0.3434523666212734,0.22835049417553235,0.08408395426027634,0.4245563507024776,0.4579610635990824,0.033398631438163594
9,0.00029507846082739805,1.3047275694682946e-05,8.36052821572998e-06,0.9996835137352621,0.0019976377393588047,0.00011007033475941544,7.60776467241842e-05,0.9978162142791577,0.07632693031405918,0.34733260066070326,0.3473463650307087,0.22899410399452877,0.07558615043042827,0.4286286560229967,0.4623504856190211,0.03343470792755386
10,0.0002680085326636933,1.3094312929180465e-05,8.462330345883333e-06,0.9997104348240613,0.0018146597018482713,0.00011048428584392994,7.70159501429389e-05,0.9979978400621649,0.06941952792728506,0.3505153282730464,0.3505272584090123,0.22953788539065617,0.06864962450196996,0.43195126291512903,0.46593188872605174,0.03346722385684929
11,0.00024548829140514023,1.3133068117506447e-05,8.547452255112373e-06,0.9997328311882223,0.0016623918253643774,0.0001108255847784769,7.780068552412123e-05,0.998148981904333,0.06365858689887643,0.35316411820287585,0.3531745508073266,0.23000274409092109,0.06288002585717765,0.4347138864963819,0.4689097336666222,0.033496353979818254
12,0.00022645959333736086,1.3165553223270642e-05,8.619680715620316e-06,0.9997517551727239,0.001533700959586203,0.00011111183056162563,7.846667939122637e-05,0.998276720530461,0.0587805529378756,0.35540296274820216,0.35541215064462495,0.23040433366929733,0.058005572208509534,0.4370471730986386,0.47142482459097934,0.03352243010187259
13,0.00021016882682497047,1.3193177079955526e-05,8.681737524970524e-06,0.9997679562585701,0.0014235043915573429,0.00011135535999416545,7.903897357398415e-05,0.9983861012748746,0.05459690421177861,0.3573202136163152,0.35732835124310475,0.23075453092880144,0.05383284052181071,0.43904404074940895,0.4735773060203742,0.033545812708406224
14,0.00019606470831111318,1.3216955633737706e-05,8.735629089825888e-06,0.9997819827069653,0.001328082471437608,0.00011156507780456217,7.953603404900104e-05,0.9984808164167088,0.05096922424744279,0.3589805312433289,0.3589877712079791,0.2310624733012493,0.0502204134857495,0.4407723871931896,0.4754403576282223,0.03356684169283859
15,0.00018373465113039725,1.3237640025299337e-05,8.782866873765052e-06,0.9997942448419705,0.0012446503871401695,0.00011174757304492557,7.99717755058398e-05,0.9985636302643092,0.047793592965420795,0.3604323279131517,0.36043879210283025,0.2313352870185972,0.04706249539411239,0.44228298356435225,0.4770687010398595,0.03358582000167582
16,0.00017286372775501252,1.3255797633798699e-05,8.824611101373944e-06,0.9998050558635098,0.0011710818377384416,0.00011190782631243284,8.03568817006996e-05,0.9986366534542485,0.044990470491552116,0.3617125704432602,0.36171835769695987,0.23157860136822767,0.044278357001903745,0.44361455596971766,0.4785040762313619,0.03360301079701674
17,0.0001632073886050281,1.3271865044947614e-05,8.861767148321598e-06,0.9998146589792016,0.0011057252496817572,0.00011204967244903207,8.069969143279201e-05,0.9987015253864365,0.04249794362529629,0.3628499741347547,0.3628551656737129,0.23179691656623616,0.04180532466098532,0.44479715855750424,0.4797788767391281,0.033618640042382235
18,0.00015457284327894568,1.3286183848085875e-05,8.895051935539877e-06,0.9998232459209374,0.0010472782970381777,0.00011217611347761786,8.100680900842002e-05,0.9987595387804759,0.04026709938948298,0.3638671835412526,0.36387184689697877,0.2319938701722857,0.03959399847628338,0.445854472876049,0.48091862775743294,0.03363290089023469
19,0.00014680605119058018,1.3299024513511783e-05,8.925040172207022e-06,0.9998309698841237,0.000994700193934282,0.00011228952775599443,8.128352959331706e-05,0.9988117267487164,0.03825878312616147,0.36478229688354447,0.36478648879372383,0.23217243119657027,0.037604914100788096,0.44680541239297816,0.4819437154101033,0.03364595809613048
20,0.0001397824576578272,1.331060501680251e-05,8.952198593150957e-06,0.9998379547387322,0.0009471492184770424,0.00011239183264995147,8.153415411137959e-05,0.9988589247947617,0.036441280452135655,0.3656099514552718,0.36561372003615583,0.23233504805643676,0.03580616389785437,0.447665265077633,0.4828706181877715,0.033657952836741216
21,0.0001334002568040954,1.3321102436201049e-05,8.976909510627246e-06,0.999844301731249,0.0009039372642148886,0.00011248458643290257,8.1762206052327e-05,0.9989018159432999,0.034788630317096746,0.36636211497849,0.3663655013792552,0.23248375332515794,0.03417167052623058,0.4484465228703291,0.48371280093363117,0.03366900566980922
22,0.00012757542433489797,1.333066179092997e-05,8.999489539002271e-06,0.9998500944243351,0.0008644963225825715,0.00011256906586253358,8.197060375087392e-05,0.9989409640078041,0.03327937674548424,0.36704866560508986,0.3670517052844145,0.23262025236501144,0.03267991317512531,0.4491594926915119,0.48448137338349123,0.03367922074987163
