tie_line,phase1_x_2-phenylethanol,phase1_x_camphor,phase1_x_geraniol,phase1_x_water4C_aparicio2007,phase1_w_2-phenylethanol,phase1_w_camphor,phase1_w_geraniol,phase1_w_water4C_aparicio2007,phase2_x_2-phenylethanol,phase2_x_camphor,phase2_x_geraniol,phase2_x_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_camphor,phase2_w_geraniol,phase2_w_water4C_aparicio2007
1,0.001669186767887429,9.960496217989777e-06,3.0202874474992527e-05,0.9982906498614196,0.011209705299538911,8.335688179234352e-05,0.0002561142177851749,0.9884508236008835,0.3856223633083972,0.2096367233504922,0.2092237044369067,0.1955172089042039,0.41029214173639716,0.2779518528992222,0.2810852283745297,0.030670776989851038
2,0.0011611432802148868,1.1490035894550299e-05,3.843459537513809e-05,0.9987889320885154,0.00782003020680061,9.643067931789321e-05,0.0003268444234062894,0.9917566946904751,0.26559235212182714,0.28092283892967373,0.2805635364915681,0.17292127245693098,0.2668131576301884,0.35168184520992024,0.35589267815992426,0.025612318999967163
3,0.0008952306750801978,1.213514012093774e-05,4.2643752568914357e-05,0.99904999043223,0.006038170070131758,0.0001019967667276055,0.0003631800212401195,0.9934966531419005,0.2028425917188616,0.3172942686995874,0.3169955269849936,0.16286761259655724,0.1983753685191041,0.3866892034039012,0.3914514250261106,0.023484003050884113
4,0.0007296477908588519,1.2492853443172327e-05,4.5232129558925827e-05,0.9992126272261391,0.004925924586901365,0.00010510112273399295,0.0003855828158631131,0.9945833914745015,0.16418825856020294,0.3394569904204621,0.3392062536283796,0.15714849739095532,0.1580732194530109,0.40726039845126677,0.4123596866982246,0.02230669539749765
5,0.0006161848261858928,1.2720581421576908e-05,4.6991710577116744e-05,0.9993241028818154,0.004162581108903851,0.00010708530919030042,0.0004008382085788282,0.9953294953733269,0.13795397041676763,0.35440501560752513,0.35419145577264277,0.15344955820306436,0.13145304426397791,0.42083080871892353,0.42615802684709025,0.021558120170008233
6,0.0005334426049346261,1.2878368952325867e-05,4.826779701395047e-05,0.9994054112290991,0.0036053026931788437,0.00010846412583806443,0.00041191505045360777,0.9958743181305294,0.11896963153677093,0.3651781880890968,0.364993838554406,0.15085834181972627,0.11253775699091839,0.430465342252563,0.4359571655204392,0.02103973523607941
7,0.00047037938096489737,1.2994175557048944e-05,4.9236429124101556e-05,0.999467390014354,0.0031802159076976264,0.00010947835992637855,0.0004203306178948438,0.9962899751144811,0.1045892588493901,0.37331535277602834,0.37315441619342016,0.14894097218116137,0.09839672161573233,0.43766379071435385,0.4432801435433363,0.02065934412657758
8,0.00042069742582386487,1.3082798728742847e-05,4.999714197143922e-05,0.999516222633476,0.0028451147986475007,0.00011025589611176126,0.0004269443471018269,0.9966176849581388,0.09331654168240132,0.37968045704346554,0.3795386481345747,0.14746435313955839,0.08742111150035553,0.443248378471896,0.4489622682858116,0.020368241741936858
9,0.0003805347945116217,1.3152809266768577e-05,5.061057376384684e-05,0.9995557018224578,0.0025740836581325433,0.00011087101670240545,0.0004322805486106975,0.9968827647765542,0.08424098017043324,0.3847965000285634,0.38467058470112697,0.14629193509987645,0.07865313642514513,0.4477081194998463,0.4535004897617269,0.020138254313281763
10,0.00034738867237340523,1.3209515460922931e-05,5.1115816808560385e-05,0.9995882859953572,0.0023503098700819484,0.00011136983657003934,0.0004366776105000688,0.997101642682848,0.07677649254347067,0.38899882879866776,0.3888863157706922,0.14533836288716934,0.07148656214233949,0.45135230124799613,0.45720919293495366,0.019951943674710846
