tie_line,phase1_x_2-phenylethanol,phase1_x_thymol,phase1_x_camphor,phase1_x_water4C_aparicio2007,phase1_w_2-phenylethanol,phase1_w_thymol,phase1_w_camphor,phase1_w_water4C_aparicio2007,phase2_x_2-phenylethanol,phase2_x_thymol,phase2_x_camphor,phase2_x_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_thymol,phase2_w_camphor,phase2_w_water4C_aparicio2007
1,0.0016450379028548532,0.00015660508584461203,1.0521599504069014e-05,0.9981878354117965,0.011038942455955403,0.0012922786107123676,8.798417185816368e-05,0.9875807947614741,0.384147844955467,0.20558808346776886,0.20855272477413941,0.20171134680262473,0.41458338675474204,0.2728413347205385,0.2804791518689167,0.0320961266558028
2,0.0011352226354676468,0.0002053009411152981,1.2129411748903805e-05,0.9986473470116682,0.007637337523780814,0.0016984415901904334,0.00010168851483615994,0.9905625323711926,0.2648224988977883,0.2771667371255374,0.2797309910748746,0.17827977290179975,0.2700818668588061,0.34760049834760476,0.35551043680172334,0.026807197991865726
3,0.0008720259250901253,0.00023080147816425725,1.2791592679344018e-05,0.9988843810040663,0.005874400808920478,0.0019119278437036485,0.00010738163778607324,0.9921062897095898,0.20231715746266374,0.3139808188504554,0.31610682361672987,0.16759520007015097,0.2009015686467411,0.3834003142537597,0.3911611437271205,0.024536973372378618
4,0.0007092673722881977,0.00024667127213660097,1.3153565235619666e-05,0.9990309077903395,0.004781882033043724,0.0020450606076065753,0.0001105105098389041,0.9930625468495107,0.1637787668170706,0.33649728874317275,0.33827871735018533,0.1614452270895713,0.16010920948447632,0.4045190880139851,0.41210189830637955,0.023269804195159043
5,0.0005981900605694353,0.00025754052379136315,1.3381847262430627e-05,0.9991308875683768,0.004035248106875414,0.0021363645265768125,0.00011249114616719947,0.9937158962203806,0.13761253827758385,0.351715972959281,0.3532316171466544,0.15743987161648076,0.13315061944860232,0.4184812567497871,0.42590817743708387,0.02245994636452669
6,0.000517399135148231,0.0002654641188976939,1.353896942571888e-05,0.9992035977765283,0.003491668037494031,0.0022029863749385725,0.00011385813867929978,0.9941914874488881,0.11867387563386063,0.36269887136826184,0.36400618643340904,0.15462106656446836,0.11399019354608629,0.4284077345809809,0.435704808992301,0.021897262880631763
7,0.0004559348607410244,0.0002715017064263598,1.3653716636042705e-05,0.9992589097161966,0.003077826474456931,0.0022537857493688065,0.00011485857930591288,0.9945535291968683,0.10432688090203995,0.37100203237343515,0.3721426306506006,0.15252845607392443,0.09966432673660956,0.43583142006499437,0.4430208445037269,0.02148340869466914
8,0.00040757689139853717,0.0002762573226090014,1.3741192153847236e-05,0.9993024245938387,0.0027520504831672313,0.0022938202146811936,0.00011562253307304653,0.9948385067690785,0.09307996113726463,0.3775012799498315,0.3785058293590289,0.15091292955387503,0.08854477716151343,0.44159476682260207,0.4486942992688299,0.02116615674705444
9,0.0003685240869085296,0.00028010121077144467,1.3810083990162723e-05,0.9993375646183299,0.0024888455442483902,0.0023261932242519988,0.0001162250147237455,0.9950687362167759,0.08402512336682816,0.38272774960953604,0.38361934822025767,0.14962777880337813,0.07966173224452475,0.4461996985487465,0.45322338864241557,0.020915180564313036
10,0.00033631948921899216,0.0002832732266661743,1.3865744288091798e-05,0.9993665415398267,0.002271717843684396,0.0023529170544721047,0.00011671233680211115,0.9952586527650413,0.07657775348862314,0.38702245229740717,0.3878188667584211,0.14858092745554854,0.07240116838636214,0.44996408120163794,0.456923094603464,0.020711655808535963
11,0.00030930307176348543,0.0002859357082067196,1.39116501704159e-05,0.9993908495698594,0.002089515315362128,0.0023753546104210237,0.00011711464250955312,0.9954180154317072,0.07034431850281013,0.39061443954734837,0.3913295994440328,0.1477116425058088,0.06635523556278715,0.45309909611453464,0.460002392449058,0.020543275873620138
12,0.00028631223974608143,0.00028820250414631686,1.3950158686071723e-05,0.9994115350974214,0.0019344229179955185,0.002394462269536632,0.00011745239733547014,0.9955536624151324,0.06505014376103492,0.39366330505254943,0.3943083190317879,0.14697823215462769,0.06124234595918449,0.45575057550405407,0.4626054244673375,0.020401654069423885
13,0.00026650818435365554,0.00029015584737906216,1.398292418220165e-05,0.9994293530440852,0.0018007992486334624,0.0024109311651229516,0.00011773998506598038,0.9956705296011776,0.06049766325896575,0.39628367755737753,0.39686753907363304,0.14635112011002366,0.05686178408369999,0.45802248630594405,0.4648348524508216,0.02028087715953431
14,0.00024927033723794455,0.00029185663132991413,1.4011141987332231e-05,0.9994448618894448,0.0016844688625103563,0.002425273297853629,0.00011798781096346971,0.9957722700286724,0.05654112134530782,0.3985600255167146,0.3990901133936853,0.14580873974429231,0.05306659735594324,0.45999095887520514,0.46676578809542235,0.0201766556734293
15,0.00023412963765725607,0.00029335091817857533,1.4035697274983602e-05,0.9994584837468892,0.0015822745344715359,0.0024378761069508027,0.00011820358854586556,0.9958616457700318,0.053070625695323316,0.4005559704302285,0.40103841095472836,0.1453349929197198,0.04974671314412098,0.46171302527696395,0.4684544594760996,0.020085802102815516
16,0.00022072490299341832,0.00029467419973347035,1.4057259523829969e-05,0.9994705436377493,0.0014917843633147831,0.0024490382173267375,0.00011839315721657711,0.9959407842621419,0.050001751307249605,0.40232034801431904,0.4027602816552355,0.14491761902319591,0.04681804544673364,0.46323225841008886,0.46994379790759205,0.020005898235585566
17,0.00020877347022957692,0.00029585426764553694,1.4076344434817687e-05,0.9994812959176901,0.0014110945824964162,0.0024589935313219656,0.00011856101886474927,0.9960113508673168,0.04726856400808033,0.403891269795145,0.40429305094317297,0.14454711525360173,0.04421524928792431,0.46458252339457595,0.47126715111791473,0.019935076199585004
18,0.0001980509377194545,0.00029691319285042865,1.4093355449819906e-05,0.9994909425139803,0.0013386934341772716,0.0024679278509845905,0.00011871069814163514,0.9960746680166965,0.044818819051773116,0.4052989153295692,0.4056662641417335,0.14421600147692418,0.04188677248117683,0.4657905399254274,0.47245081742051015,0.01987187017288556
19,0.00018837688362809837,0.0002978687387714053,1.4108613622862886e-05,0.9994996457639777,0.0012733651665204862,0.002475990748060713,0.00011884500159647254,0.9961317990838222,0.04261058228449319,0.4065674934538844,0.40690361289475524,0.1439183113668671,0.0397913972012903,0.4668776731318582,0.47351581559983824,0.019815114067013247
20,0.0001796045780664309,0.00029873534619738636,1.4122376320798819e-05,0.9995075376994154,0.001214120853097403,0.0024833038428744014,0.00011896618071137775,0.9961836091233168,0.04060980560146972,0.407716651413665,0.40802431857000376,0.14364922441486164,0.03789577293733818,0.4678612117307897,0.4744791472385781,0.019763868093294123
21,0.00017161346974940277,0.00029952488740287526,1.4134853100576564e-05,0.9995147267897472,0.0011601478538571686,0.002489967141377492,0.00011907606967305031,0.9962308089350922,0.03878855573219024,0.40876250031594896,0.40904413848955845,0.14340480546230241,0.03617262418117128,0.46875529620380174,0.4753547128942659,0.019717366720761215
22,0.00016430359192094187,0.00030024721034161,1.4146216110704083e-05,0.9995213029816268,0.0011107721755706764,0.0024960636113840083,0.0001191761760337475,0.9962739880370116,0.03712370014871344,0.40971837692856594,0.40997611313416266,0.14318180978855788,0.034599426939120964,0.46957160450843405,0.47615398856632546,0.01967497998611967
23,0.00015759134525050424,0.0003009105509644947,1.4156608135874889e-05,0.9995273414956491,0.0010654300899259953,0.0025016626504749547,0.00011926775078584949,0.9963136395088132,0.03559591789073364,0.41059541575356356,0.4108311270195577,0.142977539336145,0.03315741689582586,0.4703198658506954,0.4768865322945031,0.019636184958975473
24,0.0001514062821369865,0.00030152185839273657,1.4166148373406173e-05,0.9995329057110968,0.0010236464862827183,0.002506822820317697,0.00011935183878417268,0.9963501788546154,0.0341889456391776,0.4114029885519654,0.41161833954832233,0.1427897262605347,0.03183083617353528,0.47100825147698394,0.477560369351252,0.019600542998228828
25,0.00014568860946479722,0.00030208702179500166,1.4174937520832965e-05,0.9995380494312194,0.0009850180571921103,0.0025115937578067096,0.00011942932300352872,0.9963839588619976,0.032888995300248275,0.4121490347942876,0.4123455086325439,0.1426164612729201,0.03060635417988296,0.4716436738029135,0.47818228689529896,0.01956768512190477
26,0.00014038725384263982,0.00030261107909652256,1.4183060853761972e-05,0.999542818606207,0.0009492002687655128,0.002516017929224022,0.00011950095152761098,0.9964152808504829,0.03168430067386585,0.4128403300287334,0.4130192537019415,0.1424561155954592,0.029472617496912608,0.4722320206447543,0.47875806470040416,0.019537297157928953
27,0.0001354583256085348,0.00030309836355791036,1.4190591571664082e-05,0.9995472527192619,0.0009158970146062328,0.00252013186454034,0.00011956736659812553,0.9964444037542554,0.03056475966148096,0.4134826891471422,0.41364525466602836,0.14230729652534846,0.028419896305545957,0.4727783379306085,0.47929265500926443,0.019509110754581203
28,0.00013086389428131715,0.0003035526104820636,1.4197591841059996e-05,0.9995513859033955,0.0008848523662149573,0.002523967057429504,0.00011962911410257306,0.996471551462253,0.0295216501869419,0.4140811323808718,0.414228414451047,0.14216880298113937,0.02743980412268258,0.4732869752611751,0.4797903257929449,0.019482894823197427
29,0.00012255093334865804,0.0003043745869428775,1.4210210869085632e-05,0.9995588642688393,0.000828677904721757,0.0025309074189389462,0.00011974044891331345,0.996520674227426,0.027635413477296533,0.4151631354674093,0.4152826776797986,0.1419187733754955,0.025669376012383234,0.4742058002097707,0.480689221830197,0.01943560194764907
30,0.0001187784382863939,0.0003047476417684656,1.4215917612433263e-05,0.9995622580023327,0.0008031838883443835,0.0025340574955970236,0.00011979080914770811,0.9965429678069109,0.026779899914303892,0.415653820134199,0.4157607370157101,0.14180554293578698,0.0248671741104648,0.4746221425156164,0.4810964835776305,0.01941419979628841
31,0.00011523133412190551,0.00030509842785638206,1.4221272103015726e-05,0.9995654489659187,0.0007792121508336209,0.0025370196412941876,0.00011983806709420767,0.996563930140778,0.02597577240128081,0.4161149957605682,0.4162100207459866,0.1416992110921645,0.024113602421347913,0.47501325254742527,0.4814790347757865,0.01939411025544041
