tie_line,phase1_x_2-phenylethanol,phase1_x_thymol,phase1_x_carvone,phase1_x_water4C_aparicio2007,phase1_w_2-phenylethanol,phase1_w_thymol,phase1_w_carvone,phase1_w_water4C_aparicio2007,phase2_x_2-phenylethanol,phase2_x_thymol,phase2_x_carvone,phase2_x_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_thymol,phase2_w_carvone,phase2_w_water4C_aparicio2007
1,0.0017055995366729308,0.00016058589149250843,4.8411963747669e-06,0.9981289733754598,0.011441528476467127,0.00132468645943987,3.993543408788361e-05,0.9871938496300051,0.38743438321237833,0.20793969024894157,0.21113968202753358,0.19348624451114654,0.4160132676863991,0.2745649828697437,0.27879027380299737,0.03063147564085988
2,0.0011971102337458386,0.0002139608799826071,5.359733881385534e-06,0.9985835691523901,0.008050735521737214,0.0017694346402129433,4.432445217470346e-05,0.9901355053858751,0.2672241426724142,0.2804470711753222,0.2832526652897494,0.16907612086251417,0.2712018008460258,0.34999877076638053,0.35350016048389005,0.025299267903703574
3,0.0009275093726402359,0.0002425193666911841,5.559199048528379e-06,0.9988244120616201,0.006245979209199732,0.002008294442265738,4.60355340067543e-05,0.9916996908145277,0.20421531012052005,0.317675377323008,0.3200171243643432,0.1580921881921287,0.2018548700816184,0.3861297125598867,0.3889760713793156,0.02303934597917931
4,0.0007583353335253809,0.0002604736040156215,5.664690277980559e-06,0.998975526372181,0.0051110288120854355,0.002158785489027178,4.694852370224952e-05,0.9926832371751851,0.16535840195125567,0.34043013041609027,0.3424003962689048,0.15181107136374916,0.1609457617670937,0.40745532973482673,0.4098135091408111,0.02178539935726846
5,0.0006418161297533581,0.00027284400699762763,5.729863012537849e-06,0.9990796100002365,0.004328217903856624,0.0022626201080482994,4.7516173843037964e-05,0.993361645814252,0.1389701631083055,0.3558064124944836,0.3574874901345466,0.14773593426266435,0.13389698744647446,0.42156227846222977,0.4235540326727525,0.020986701418543197
6,0.0005565321496991402,0.0002818975591788113,5.774077998258099e-06,0.9991557962131238,0.0037546797374860114,0.002338690170923972,4.790314431956098e-05,0.9938587269472705,0.1198665737618702,0.36690257457918735,0.36835569188627953,0.1448751597726629,0.11466394690326202,0.43159687139048053,0.43330621040022627,0.02043297130603119
7,0.0004913510981693126,0.00028881557866163726,5.806022466543606e-06,0.9992140273007025,0.0033160065455887368,0.002396860713407059,4.818378293755655e-05,0.9942389489580666,0.10539158745000367,0.37529166604652775,0.3765616490202379,0.14275509748323065,0.10027818527302051,0.4391047891287761,0.44059071502673886,0.02002631057146452
8,0.0004398890872107059,0.0002942762065465051,5.830170774824228e-06,0.9992600045354679,0.0029694625090005314,0.0024428035414683765,4.839657946948342e-05,0.9945393373700616,0.0940421396073026,0.3818586334491423,0.3829787466175161,0.14112048032603894,0.08910836911764526,0.4449357901698785,0.4462409287578121,0.019714911954664065
9,0.00039821472303588586,0.0002986972214067995,5.849060528250238e-06,0.9992972389950291,0.0026886982010793726,0.002480017011620144,4.856345681334915e-05,0.9947827213304871,0.08490316381651279,0.38713999804895843,0.3881354162924858,0.13982142184204288,0.0801825495456957,0.44959633716673164,0.45075234377543716,0.01946876951213562
10,0.00036377151351312144,0.0003023503147402749,5.864237296592259e-06,0.99932801393445,0.0024565629796165903,0.0025107783454833537,4.8697816073741256e-05,0.9949839608588262,0.07738541708747607,0.39148018166666604,0.3923703387290405,0.13876406251681733,0.07288515985100374,0.453407289134213,0.454438257544508,0.019269293470275155
11,0.00033482384289065017,0.00030541992581392067,5.876695806850697e-06,0.9993538795354886,0.0022614042029018727,0.0025366346425209985,4.880830917462008e-05,0.9951531528454025,0.07109219511130378,0.39511051373054906,0.39591068877575525,0.13788660238239173,0.06680720258061819,0.4565818911586814,0.4575065576069334,0.01910434865376703
