tie_line,phase1_x_2-phenylethanol,phase1_x_thymol,phase1_x_eugenol,phase1_x_water4C_aparicio2007,phase1_w_2-phenylethanol,phase1_w_thymol,phase1_w_eugenol,phase1_w_water4C_aparicio2007,phase2_x_2-phenylethanol,phase2_x_thymol,phase2_x_eugenol,phase2_x_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_thymol,phase2_w_eugenol,phase2_w_water4C_aparicio2007
1,0.001532244744108756,0.00013063774748007243,3.8374173887186e-06,0.9983332800910224,0.010291112548491977,0.001078950708737816,3.4643148500448795e-05,0.9885952935942699,0.345723540533118,0.1843270344874093,0.1866147362374906,0.2833346887419821,0.3996801077253856,0.2620422691168672,0.28998373938692334,0.04829388377082389
2,0.0010029477819254473,0.00015856629702657484,5.04691708461824e-06,0.9988334390039633,0.006755198528924058,0.0013133165365958128,4.569094004832512e-05,0.9918857939944318,0.22897052618289998,0.23847243252616,0.2402000009252451,0.2923570403656948,0.257795576673415,0.3301663392626012,0.363507196050538,0.048530888013445704
3,0.0007463777461604383,0.0001709570026054423,5.6604148608326835e-06,0.9990770048363733,0.00503404812734821,0.0014178957784271304,5.131579628274924e-05,0.993496740297942,0.17117246481113987,0.2643814165908582,0.26570968638676307,0.2987364322112388,0.19072614601113042,0.3622479926786191,0.3979493908744522,0.04907647043579827
4,0.0005945939915633097,0.0001779815015543723,6.031776012654817e-06,0.9992213927308696,0.004013606773326372,0.0014773653355031285,5.4727251694972494e-05,0.9944543006394755,0.13668281346717956,0.2795921781103492,0.28065096658262867,0.30307404183984266,0.15146329958520907,0.3809932267079684,0.41802684746367264,0.04951662624314974
5,0.0004942065892947832,0.00018251254142325507,6.280775267501039e-06,0.9993170000940145,0.0033377864927052105,0.0015157984805216182,5.7017399293724854e-05,0.9950893976274794,0.11376605028259006,0.28960246732447553,0.2904706258824582,0.3061608565104762,0.12564415028766468,0.39330601131612275,0.4311972101464455,0.04985262824976714
6,0.0004228622411203027,0.00018568010852783274,6.459348897290663e-06,0.9993849983014547,0.002857042423091042,0.0015427014822815693,5.866116097687417e-05,0.9955415949336505,0.09743299294265378,0.29669186146781956,0.29741888238809033,0.3084562632014363,0.10736122378923334,0.40201825752525605,0.4405082799438586,0.050112238741651945
7,0.000369538812456981,0.00018802013708448193,6.5936785143317835e-06,0.9994358473719442,0.0024974876717906223,0.0015625948652577789,5.989839584649597e-05,0.9958800190671051,0.08520227878354236,0.30197680268668103,0.30259538974925665,0.31022552878051995,0.09373064691182435,0.4085100263522684,0.4474420950118145,0.050317231724092644
8,0.0003281689154948468,0.0001898199005797003,6.698397350117754e-06,0.9994753127865754,0.0022183914638082493,0.0015779063314115965,6.0863339616658435e-05,0.9961428388651634,0.07570048502617031,0.3060687974899586,0.3066015745890251,0.31162914289484606,0.0831751076898527,0.4135352172141697,0.45280709103642375,0.05048258405955381
9,0.0002951356449233552,0.00019124736183621813,6.782325416600088e-06,0.9995068346678239,0.001995447312169812,0.0015900573448361774,6.163698017399488e-05,0.9963528583628201,0.0681057990620617,0.30933097946888044,0.3097942069686755,0.3127690145003824,0.07475855419985428,0.4175408310847416,0.4570821084823383,0.050618506233065685
10,0.0002681483453347026,0.0001924073322299103,6.8510959562713975e-06,0.999532593226479,0.001813248632867858,0.001599935920425917,6.227108262644072e-05,0.9965245443640798,0.061896331336828904,0.3119926231710035,0.3123983634265991,0.3137126820655685,0.06789013794172867,0.4208088274539372,0.4605689555746722,0.050732079029662036
11,0.00024568552520095563,0.00019336862436253687,6.908475529963498e-06,0.9995540373749066,0.0016615552821991019,0.0016081256026228106,6.28002796193745e-05,0.9966675188355586,0.05672472026315619,0.31420563646335553,0.31456307691868923,0.314506566354799,0.06217841381115118,0.42352590691699016,0.46346735459614385,0.05082832467571483
12,0.0002266969045646173,0.0001941782979853214,6.957077942936339e-06,0.9995721677195071,0.0015332946546850535,0.001615025765342549,6.324861636419092e-05,0.9967884309636081,0.05235079869647344,0.31607466476478374,0.3163909606130268,0.3151835759257161,0.057353719708419335,0.42582062908823876,0.46591476482619903,0.05091088637714288
13,0.00021043403568976507,0.0001948696229189302,6.998774386301321e-06,0.999587697567005,0.0014234243817597366,0.0016209189321503858,6.36333135872665e-05,0.9968920233725026,0.04860320160917711,0.3176741452579723,0.3179549756807934,0.31576767745205725,0.05322421173707682,0.4277844201742513,0.46800890248611754,0.05098246560255424
14,0.00019634912476204045,0.00019546679891228785,7.034939074384083e-06,0.9996011491372513,0.001328252487625446,0.0016260107128092329,6.396702274758159e-05,0.9969817697768178,0.04535637397243651,0.3190584813373532,0.3193084282785955,0.31627671641161476,0.049649670931233854,0.42948408402846255,0.469821143694254,0.051045101346049636
15,0.00018403198243910977,0.00019598783827444704,7.066604692902231e-06,0.9996129135745936,0.0012450134892519852,0.0016304542182827063,6.42592538809359e-05,0.9970602730385844,0.04251621989188031,0.32026835200194737,0.3204911650617192,0.3167242630444532,0.04652522608421198,0.4309695698484643,0.4714048411940306,0.05110036287329311
16,0.000173169374443111,0.0001964464414406027,7.094561423298186e-06,0.9996232896226931,0.0011715949593235524,0.0016343659514619544,6.451728574200065e-05,0.9971295218034725,0.040010830928924206,0.3213347922168861,0.32153357837318963,0.3171207984810001,0.043770872153726784,0.43227897596956333,0.47280067952445815,0.051149472352251674
17,0.00016351795297737766,0.00019685319915476503,7.119424980336723e-06,0.9996325094228875,0.001106355362248638,0.0016378360050588873,6.474679123445275e-05,0.997191061841458,0.03778430896327527,0.3222818832853884,0.32245924554556665,0.31747456220576964,0.04132451029451845,0.4334418670099193,0.47404022351846653,0.05119339917709554
18,0.00015488579985196486,0.00019721643625559624,7.141681786289318e-06,0.9996407560821062,0.0010479997968589486,0.0016409352177665895,6.495225294222005e-05,0.9972461127324324,0.035792545650730465,0.3231286019312,0.32328674258318674,0.31779210983488265,0.039137202526750105,0.434481538157661,0.4751483398367495,0.05123291947883935
19,0.00014711951765623878,0.00019754278573412082,7.161721414713863e-06,0.999648175975195,0.0009954930603605363,0.0016437200473387967,6.513726158103436e-05,0.9972956496307196,0.03400026943282343,0.32389010342013824,0.32403090216379493,0.31807872498324335,0.037169859758223484,0.4354165934393987,0.4761448842720674,0.05126866253031044
20,0.00013371087097303812,0.00019810523183892806,7.196354318691986e-06,0.9996609875428693,0.0009048286573692056,0.0016485203321997106,6.545702998973709e-05,0.9973811939804413,0.030905206659042228,0.3252042146449222,0.3253149649961775,0.318575613699858,0.03377444779835531,0.4370302555605128,0.4778645081215469,0.051330788519584926
21,0.00012788330177850225,0.00019834928418652878,7.211419637297617e-06,0.9996665559943977,0.0008654206271793189,0.001650603542238556,6.559614218897691e-05,0.9974183796883931,0.029559796321051043,0.32577509202436333,0.3258727408437505,0.3187923708108352,0.032299248378874476,0.4377312865635668,0.478611512637741,0.05135795241981778
22,0.00012254256093344602,0.00019857274006501198,7.225233535023998e-06,0.9996716594654665,0.0008293025041350038,0.0016525111056773841,6.572370571332184e-05,0.9974524626844744,0.02832664566310181,0.3262981444557679,0.3263837639265435,0.31899144595458695,0.0309475452188961,0.43837360197161496,0.47929591923455744,0.05138293357493151
23,0.00011763008287274394,0.00019877810188041257,7.23794572594656e-06,0.9996763538695209,0.000796078764591876,0.0016542643441508262,6.584110140139146e-05,0.9974838157898559,0.02719226651593827,0.3267791406424875,0.32685367659723774,0.3191749162443366,0.029704451200179293,0.43896428315219,0.4799252812440966,0.05140598440353419
24,0.00011309633488505257,0.00019896748234756075,7.24968295870142e-06,0.9996806864998087,0.0007654148510009794,0.0016558812617507646,6.594949839429853e-05,0.997512754388854,0.026145248414024738,0.32722295727981515,0.3272872482893923,0.3193445460167679,0.02855737991462776,0.43950931658122366,0.4805059835689493,0.05142731993519935
25,0.00010889914010330683,0.0001991426774931449,7.260553254401929e-06,0.9996846976291492,0.0007370258598311314,0.001657377166024116,6.604989318074289e-05,0.997539547080964,0.02517587335987538,0.3276337450908152,0.32768853808202025,0.3195018434672891,0.02749561768798382,0.4400137976123507,0.48104346024046013,0.05144712445920531
26,0.00010500236005829711,0.0001993052224159611,7.270649318390412e-06,0.9996884217682074,0.0007106676534946488,0.0016587651426823518,6.614314102640158e-05,0.9975644240627967,0.024275813176409925,0.3280150582473782,0.32806102137879806,0.319648107197414,0.026509987712006397,0.4404820901806031,0.48154236490183683,0.0514655572055537
27,0.00010137485407523428,0.00019945644259493565,7.280050885489404e-06,0.9996918886524443,0.0006861298389933602,0.0016600564909904963,6.622997761870962e-05,0.9975875836923974,0.02343788985211925,0.3283699609711709,0.32840769432951405,0.31978445484719586,0.02559258401520667,0.44091795418940677,0.48200670680646784,0.05148275498891871
28,9.798964092469812e-05,0.0001995974823311137,7.288827219961325e-06,0.9996951240495243,0.0006632301104619919,0.0016612609674186236,6.631104206774784e-05,0.9976091978800516,0.02265588334300321,0.3287011057107593,0.32873115024762894,0.31991186069860855,0.024736558768090965,0.441324645792884,0.4824399578176824,0.05149883762134253
29,9.482322623802474e-05,0.00019972933319654595,7.297038831590068e-06,0.9996981504017338,0.0006418097097982096,0.0016623870279392184,6.638689272436367e-05,0.9976294163695383,0.021924376871097596,0.3290107991437965,0.32903364419307174,0.3200311797920342,0.02393595096039757,0.44170499883682224,0.4828451393198154,0.0515139108829649
30,9.18550600893756e-05,0.00019985286560227279,7.304738507910898e-06,0.9997009873358004,0.0006217297654040266,0.00166344209513899,6.645801673417872e-05,0.9976483701227229,0.021238631583365343,0.3293010607104979,0.3293171503524748,0.32014315735366194,0.023185547378387576,0.4420614920356773,0.48322489393403695,0.051528066651898116
31,8.906708860664784e-05,0.00019996884470764578,7.3119725689015675e-06,0.9997036520941168,0.0006028682652654122,0.0016644326943870455,6.65248415931782e-05,0.9976661741987544,0.020594483626489215,0.3295736649485616,0.32958340342140985,0.32024844800353935,0.02248076888374161,0.4423963026968153,0.4835815428291577,0.05154138559028543
32,8.644338389181334e-05,0.00020007794063662626,7.318782133950086e-06,0.9997061598933377,0.0005851175584141998,0.001665364542007241,6.658774679283728e-05,0.9976829301527858,0.019988259295249878,0.3298301742353498,0.32983393055914945,0.32034763591025084,0.02181757681274238,0.4427113504758589,0.4839171323814213,0.05155394032997748
33,0.002130833255923353,9.508401328949429e-05,2.5353777032804962e-06,0.9977715473530838,0.014266387464199975,0.000782835994996689,2.2816621823704584e-05,0.9849279599189796,0.47205948161429157,0.12312269604735321,0.12420289724595517,0.28061492509240016,0.5675275544212556,0.18202333926359432,0.2007086465436069,0.049740459771543316
34,0.0015643061260170515,0.00012945623430224296,3.749150981464428e-06,0.9983024884886993,0.010504617595988306,0.001069006152226619,3.3840405628892415e-05,0.9883925358461562,0.3526051210766204,0.18173525090553386,0.1827815677108448,0.28287806030700086,0.40835569847580666,0.2588140885144049,0.28452899611273275,0.04830121689705571
35,0.0012353698328488685,0.0001472761960455659,4.49045560269843e-06,0.9986128635155029,0.00831027103827862,0.001218286659370847,4.0602495996102095e-05,0.9904308398063544,0.2806493602855811,0.2154405722814438,0.21634823417426838,0.28756183325870677,0.3193639674401798,0.30147276618571206,0.33091720065686836,0.04824606571723985
36,0.0010205559487573622,0.00015817642540110196,4.990748079922588e-06,0.9988162768777616,0.006873123286997307,0.001309959310627051,4.5178009532753635e-05,0.9917717393928428,0.23287658939436404,0.23724911531326737,0.23802581318972532,0.29184848210264325,0.2623693245699751,0.3286930796769508,0.3604586165713873,0.048478979181686824
37,0.0008693296689401457,0.0001655336705152157,5.350822850862342e-06,0.9989597858376938,0.005859418392267329,0.0013720030820557347,4.847688551764134e-05,0.9927201016401592,0.1989273124619856,0.2524956176307199,0.2531627752267065,0.29541429468058794,0.22269760831119298,0.34759515633545296,0.3809474880565561,0.04875974729679795
38,0.0007571235183930757,0.00017083551021097475,5.622209249224923e-06,0.9990664187621467,0.0051062150639708745,0.0014168022841590207,5.0966346173956735e-05,0.993426016305696,0.1735851801612459,0.26374883680360056,0.2643260717817864,0.29833991125336723,0.19347556942935906,0.3614954002231117,0.3960022190809282,0.04902681126660099
39,0.0006705697827308472,0.00017483879140779492,5.833996155579198e-06,0.9991487574297058,0.004524588596851403,0.0014506800768366928,5.2910928730998275e-05,0.9939718203975808,0.15395497925475488,0.27239397291813605,0.2728970584574325,0.30075398936967657,0.17104749067091948,0.3721510043284308,0.40753597415909804,0.049265530841551615
40,0.0006017768667638916,0.0001779692015024517,6.003831955975949e-06,0.9992142500997776,0.004061925730874191,0.0014772026399530334,5.4471476381519275e-05,0.9944064001527911,0.13830546840287747,0.2792427591048,0.2796840511486086,0.3027677213437139,0.15328721867759978,0.38058112578719583,0.4166567507724412,0.04947490476276332
41,0.0005457875803065293,0.00018048455301978496,6.143035733016469e-06,0.9992675848309407,0.0036851198784324476,0.0014985344905172537,5.57513183562485e-05,0.994760594312694,0.12553937558570866,0.28480203672339144,0.2851912232348772,0.30446736445602274,0.13887303716307636,0.3874179991283835,0.4240511586192557,0.04965780508928453
42,0.0004993319553952311,0.00018255014559341874,6.25919672502163e-06,0.9993118587022862,0.0033723024730678798,0.0015160658950294614,5.68198249098498e-05,0.9950548118069928,0.11492811480436614,0.28940449080622577,0.289749239584911,0.3059181548044971,0.12693971448168742,0.393074828656126,0.4301675716658838,0.049817885196302786
43,0.00046016596323654983,0.000184276861685995,6.357592055179663e-06,0.9993491995830224,0.003108449209881482,0.0015307308124472801,5.772528281058571e-05,0.9953030946948606,0.10596917562076871,0.29327748396391695,0.293583936618259,0.30716940379705543,0.11689692456487293,0.3978331652167564,0.43531130710194926,0.04995860311642143
44,0.00042669853513600564,0.00018574187189154432,6.442003497334017e-06,0.9993811175894751,0.0028828975005662162,0.001543180054040488,5.850232614974895e-05,0.9955154201192435,0.09830485850526025,0.29658165836608885,0.2968547946715702,0.30825868845708077,0.1083280176237295,0.4018915140555489,0.4396975137212719,0.050082954599449676
45,0.000397770212116403,0.0001870005488477571,6.515211537199032e-06,0.9994087140274988,0.002687871021214479,0.0015538810948609511,5.917643768989727e-05,0.9956990714462346,0.09167367050275396,0.29943372765538717,0.2996776329944282,0.30921496884743066,0.10093048270824745,0.4053938728588265,0.44348219510020365,0.05019344933272244
46,0.0003725161029523846,0.00018809366127928607,6.57930605053052e-06,0.9994328109297179,0.0025175651141028967,0.0015631784337461453,5.976678279669844e-05,0.9958594896693542,0.08588004613378886,0.3019205262906552,0.30213858910979713,0.31006083846575877,0.09447934481286231,0.4084472508651122,0.4467812403168403,0.05029216400518536
47,0.00035027792488613135,0.0001890518894907397,6.635887978599201e-06,0.9994540342976446,0.002367559145492851,0.0015713315294339978,6.028805094359724e-05,0.9960008212741296,0.08077481745108028,0.30410799307751796,0.30430305215080367,0.3108141373205981,0.08880380610163834,0.41113283545637036,0.44968254662733703,0.05038081181465429
48,0.00033054580250879766,0.0001898987745810881,6.686204124306738e-06,0.9994728692187859,0.002234427322379035,0.0015785396044328147,6.0751687594775606e-05,0.9961262813855934,0.07624223396412463,0.30604710050084993,0.3062215560613805,0.3114891094736449,0.08377185588445048,0.41351334220248465,0.45225399474436273,0.05046080716870203
49,0.0003129186584838473,0.00019065267055467543,6.731240203117808e-06,0.9994896974307583,0.0021154736196267116,0.0015849580823674905,6.116674521039954e-05,0.9962384015527953,0.07219110528162728,0.3077778690967761,0.30793376767679725,0.31209725794479926,0.07927984679242113,0.4156379873433947,0.45454884187504385,0.050533323989140365
50,0.0002970766751669501,0.0001913281059161922,6.771785553485191e-06,0.9995048234333633,0.002008547360940992,0.0015907100603704415,6.154047546517215e-05,0.9963392021032234,0.06854861886479693,0.3093321603128342,0.30947126030021926,0.31264796052214966,0.07524526259608504,0.4175459363924272,0.45660946062350005,0.050599340387987655
51,0.00028276171586798156,0.00019193673887039987,6.808479434002587e-06,0.9995184930658276,0.0019119120227576109,0.0015958943639459355,6.187875320034375e-05,0.9964303148600961,0.06525593488857753,0.3107356572849109,0.31085948014065234,0.3131489276858592,0.07160159235618446,0.41926874673432674,0.4584699863142744,0.05065967459521435
52,0.000269763111690912,0.00019248801344994576,6.841845683844743e-06,0.9995309070291752,0.0018241499386173715,0.0016005910880037655,6.218639393719305e-05,0.9965130725794418,0.062264987846188315,0.31200928665773187,0.3121191573234901,0.3136065681725897,0.06829462779232312,0.42083212875187814,0.4601582251089186,0.05071501834688021
53,0.000257907253789231,0.00019298967941692343,6.87231727362325e-06,0.9995422307495202,0.0017440924849797838,0.0016048659837945558,6.246737892882068e-05,0.996588574152297,0.05953613023366161,0.313170275513229,0.31326735464664796,0.31402623960646137,0.06527974375034254,0.4222572415142049,0.46169705755694357,0.05076595717850896
54,0.0002470497786553428,0.000193448149300111,6.900254952039695e-06,0.9995526018170925,0.0016707676362162744,0.001608773477606331,6.272502616949496e-05,0.9966577338600079,0.057036367535530846,0.31423293454025225,0.3143182444423692,0.3144124534818477,0.0625198695692714,0.4235616575738886,0.4631054834170846,0.05081298943975533
