tie_line,phase1_x_2-phenylethanol,phase1_x_thymol,phase1_x_geraniol,phase1_x_water4C_aparicio2007,phase1_w_2-phenylethanol,phase1_w_thymol,phase1_w_geraniol,phase1_w_water4C_aparicio2007,phase2_x_2-phenylethanol,phase2_x_thymol,phase2_x_geraniol,phase2_x_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_thymol,phase2_w_geraniol,phase2_w_water4C_aparicio2007
1,0.001544856415607428,0.000159613743639528,3.252861233389556e-05,0.9982630012284192,0.010370676908500399,0.001317613394045014,0.00027572787191949095,0.9880359818255352,0.35341981179044135,0.18803498772438654,0.19038357705357214,0.26816162343159994,0.40877702174019676,0.26744407664162956,0.2780489215366143,0.045729980081559304
2,0.0010231380003631971,0.00020473966498134598,4.052819967479525e-05,0.9987315941349807,0.006886254204529775,0.0016945311524219075,0.00034443105050284986,0.9910747835925455,0.23917462988475513,0.24884349960615815,0.2507835564173306,0.2611983140917561,0.2656465385912647,0.3398709807907281,0.3517096272989081,0.04277285331909913
3,0.0007671899952460541,0.0002267896835023845,4.4291972729675223e-05,0.9989617283485218,0.005170207062651712,0.0018794338062770918,0.00037690003556813015,0.9925734590955031,0.18109807344297188,0.2795670168782184,0.2811312724865995,0.25820363719221023,0.1972893282156157,0.37451949551605757,0.3867186088675899,0.04147256740073683
4,0.0006142474998029299,0.0002399346434456904,4.649419449695636e-05,0.9990993236622545,0.004142679512200994,0.0019898925756745107,0.00039594313351464937,0.9934714847786099,0.14580842117399737,0.29818520837794343,0.29947049932227,0.2565358711257892,0.15704543493245046,0.39493674193539124,0.4072798317448419,0.04073799138731639
5,0.0005123447730245418,0.00024867926626991564,4.794279623463043e-05,0.9991910331644709,0.0034571826288957936,0.00206347077912943,0.00040848820542570833,0.994070858386549,0.12206232585606527,0.31069386026374873,0.3117708864197558,0.2554729274604301,0.1304840278370057,0.4084201099243195,0.4208307049460068,0.04026515729266804
6,0.0004395238797478496,0.0002549214040207701,4.896904786577581e-05,0.9992565856683656,0.0029668890433334804,0.0021160399581073765,0.00041738480802924055,0.99449968619053,0.10498166117780157,0.31968237758557916,0.32059966922409944,0.2547362920125199,0.11162681884011914,0.41799639662894433,0.43044168852818154,0.03993509600275506
7,0.0003848664370346696,0.00025960274390797206,4.9734512978919415e-05,0.9993057963060784,0.0025986520811250025,0.0021554904891447992,0.00042402563870473154,0.9948218317910255,0.09210137831920402,0.3264557305823199,0.3272471839674897,0.2541957071309863,0.09754096279637435,0.42515171830740317,0.4376157813589545,0.03969153753726789
8,0.00034231999943576684,0.0002632444768364997,5.0327544968925965e-05,0.9993441079787588,0.002311869166479985,0.0021861954274400145,0.0004291734766342458,0.9950727619294457,0.08203993887402115,0.33174398806716654,0.3324339693450816,0.2537821037137307,0.0866165260538025,0.4307023368647438,0.44317675904385384,0.039504378037599944
9,0.0003082557122765818,0.00026615870925172675,5.0800585305605064e-05,0.9993747849931661,0.0020821715218779287,0.0022107762194175243,0.00043328158740990705,0.9952737706712947,0.07396237996494615,0.33598782400164556,0.3365943494584552,0.25345544657495306,0.07789540967554838,0.4351342424270402,0.4476143055870454,0.03935604231036605
10,0.000280364340928844,0.00026854385656342825,5.118674518644077e-05,0.9993999050573212,0.0018940396649990898,0.002230900748889503,0.0004366364201871383,0.9954384231659242,0.06733412942845186,0.33946910541997616,0.34000583593896017,0.25319092921261177,0.07077148937817557,0.43875499674612867,0.4512379380492211,0.03923557582647467
11,0.0002571058880813466,0.0002705321333497406,5.150796849736535e-05,0.9994208540100716,0.0017371172511074743,0.0022476811395554684,0.0004394279536929256,0.9955757736556441,0.06179697502797685,0.342376569591985,0.34285409348470425,0.2529723618953339,0.06484246026353234,0.4417687970395765,0.4542529490433818,0.03913579365350937
12,0.00023741367178723498,0.00027221505707878004,5.177937723618018e-05,0.9994385918938977,0.0016042271719388134,0.002261887604455387,0.0004417871856143743,0.9956920980379914,0.0571018356068097,0.3448413766438968,0.3452680586508587,0.25278872909843475,0.05983075283773735,0.44431656192804686,0.45680089869215224,0.03905178654206354
13,0.00022052534090521067,0.0002736579977383952,5.2011733079818475e-05,0.9994538049282766,0.001490237736874083,0.002274070546250334,0.00044380738879614025,0.9957918843280795,0.05307012236639999,0.3469575216414215,0.3473400804500205,0.25263227554215806,0.05553864017102597,0.44649869473752113,0.4589825794267527,0.03898008566470032
14,0.00020588150750930684,0.00027490890380494205,5.221290546701454e-05,0.9994669966832188,0.001391382075694921,0.0022846338354351636,0.00044555679802461666,0.9958784272908453,0.049570438058863915,0.34879413302692186,0.34913804412808774,0.2524973847861265,0.051821441209784214,0.44838867491042234,0.46087171335206834,0.03891817052772519
15,0.00019306237523476085,0.00027600373177990347,5.238877906264597e-05,0.9994785451139226,0.0013048324075726821,0.0022938804352103967,0.00044708645788727445,0.9959542006993296,0.04650394940321698,0.3504031912916098,0.35071297442048793,0.25237988488468516,0.04857084220459412,0.4500415202679474,0.4625234729332174,0.038864164594241045
16,0.00018174674309937632,0.0002769699920166226,5.254384649702215e-05,0.999488739418387,0.0012284244932446,0.002302042208125347,0.0004484353505667105,0.9960210979480634,0.043794883918537975,0.35182453522884677,0.35210396369578784,0.2522766171568274,0.04570414101689213,0.45149924425813326,0.46397997180576067,0.03881664291921385
