tie_line,phase1_x_2-phenylethanol,phase1_x_thymol,phase1_x_carvacrol,phase1_x_water4C_aparicio2007,phase1_w_2-phenylethanol,phase1_w_thymol,phase1_w_carvacrol,phase1_w_water4C_aparicio2007,phase2_x_2-phenylethanol,phase2_x_thymol,phase2_x_carvacrol,phase2_x_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_thymol,phase2_w_carvacrol,phase2_w_water4C_aparicio2007
1,0.001534742522706671,0.000166535844665614,0.00027534424557108084,0.9980233773870566,0.010284790586402475,0.0013723547340533829,0.00226900088483985,0.9860738537947042,0.349463156835059,0.1856975304740761,0.1837116493583179,0.28112766333254685,0.4134807203465959,0.2701834421487296,0.2672940542598119,0.04904178324486279
2,0.0010051503659370934,0.0002133737732837634,0.000358062380768892,0.9984234134800102,0.006749908552065737,0.0017620029242585925,0.0029568158835657143,0.98853127264011,0.23583704491509272,0.24504029428981636,0.24335850002016668,0.27576416077492416,0.2688893263887399,0.3435561899261424,0.3411982478040313,0.04635623588108623
3,0.0007487559396937057,0.00023588443199472152,0.0003986350560458709,0.9986167245722657,0.005033218126840065,0.0019498602424488421,0.003295184173271779,0.9897217374574393,0.1782812599580521,0.27488688040559195,0.27351755657048865,0.27331430306586724,0.19965416447046552,0.3785518952738596,0.37666617365536254,0.04512776660031242
4,0.0005969427085438536,0.00024916204040470474,0.0004228147082892047,0.9987310805427623,0.004015112413194863,0.002060846615861846,0.0034971469141090246,0.9904268940568344,0.14338462359083617,0.2929201824529159,0.29178955909141235,0.2719056348648357,0.15887657865545846,0.39912168818938926,0.3975811446154681,0.04442058853968419
5,0.0004964372307136846,0.00025793126556337243,0.00043888515942912986,0.9988067463442939,0.0033404210320853024,0.0021342219773118525,0.0036315037291961326,0.9908938532614068,0.11993958712075062,0.30501040593050716,0.30406042769023855,0.27098957925850375,0.1319660001230741,0.41267949825402095,0.41139417638983644,0.04396032523306854
6,0.00042494998285771583,0.0002641584167004603,0.00045034573338276364,0.998860545867059,0.002860203033432833,0.002186362819650879,0.0037273813939193196,0.991226052752997,0.10309529125382126,0.313684587560781,0.3128742664159795,0.2703458547694182,0.11286572383165076,0.42229423791754095,0.42120335247438506,0.043636685776423205
7,0.0003714841698643778,0.0002688101952153962,0.00045893334547440285,0.9989007722894457,0.0025008677613542777,0.0022253323744706585,0.0037992578019221714,0.9914745420622529,0.0904049187010223,0.3202131000789907,0.31951337498766097,0.2698686062323261,0.09860225685968198,0.42946979427919674,0.42853132302067787,0.04339662584044353
8,0.00032998150655548253,0.0002724178407016965,0.0004656089211579713,0.9989319917315849,0.0022218305613905193,0.0022555663922339624,0.0038551507191419148,0.9916674523272336,0.08049914199740961,0.3253052406632401,0.3246950248601323,0.26950059247921804,0.08754300726454532,0.43503079739829953,0.4342147556189854,0.04321143971816981
9,0.00029682768068326675,0.0002752977043135966,0.0004709475425886949,0.9989569270724145,0.0019988600242239083,0.002279708441085722,0.003899862117720537,0.9918215694169699,0.07255136791948853,0.32938844633936154,0.32885204823618297,0.2692081375049669,0.07871641067841142,0.43946750990163685,0.43875185171344105,0.043064227706510624
10,0.00026973204416175266,0.0002776499671320484,0.00047531452095108,0.9989773034677552,0.0018165895949047068,0.0022994323583466086,0.00393644415360989,0.9919475338931388,0.0660329142201617,0.33273574917079196,0.33226121518360757,0.2689701214254388,0.07150790144980519,0.4430898138790408,0.44245789748116415,0.0429443871899898
11,0.00024717217471416695,0.00027960753201675955,0.0004789531344791963,0.9989942671587898,0.0016648012783150778,0.0023158499760259424,0.003966930350555481,0.9920524183951035,0.060589817105744605,0.33552975945880825,0.33510779183657785,0.2687726315988693,0.06550964224713597,0.446103227453941,0.44554220085987173,0.04284492943905122
12,0.00022809657288488616,0.00028126209683367026,0.0004820316594013956,0.9990086096708801,0.0015364349279712519,0.002329728728400318,0.003992727841924673,0.9921411085017038,0.055976130355642195,0.3378972561516431,0.3375204893506986,0.26860612414201596,0.0604403002525242,0.44864944993121,0.4481491907106372,0.042761059105628586
13,0.00021175557678891223,0.00028267898620187154,0.00048467022440769043,0.9990208952126014,0.0014264553582429473,0.0023416155134116517,0.004014841469508003,0.9922170876588374,0.05201562527931301,0.3399290172380969,0.3395915219560215,0.2684638355265686,0.05609950664733134,0.4508293592638442,0.4503817576351017,0.042689376453722734
14,0.00019760027103023702,0.0002839060025672807,0.0004869568906471552,0.9990315368357554,0.0013311746723378788,0.0023519106482848932,0.004034008037915069,0.992282906641462,0.04857871334448825,0.34169175385437467,0.3413886890774644,0.2683408437236728,0.05234067507356441,0.45271672937113144,0.45231519057763486,0.04262740497766934
15,0.0001852194815541455,0.000284978923304327,0.0004889576688009484,0.9990408439263405,0.0012478297174103954,0.0023609138228493608,0.004050779986376736,0.9923404764733635,0.04556797060318286,0.3432356007857891,0.34296296438365814,0.26823346422736993,0.04905408549412194,0.454366764754505,0.4540058554557407,0.04257329429563242
16,0.00017429911420476803,0.00028592507116641924,0.0004907230351995405,0.9990490527794293,0.001174309285354061,0.002368853955027183,0.004065579831853166,0.9923912569277656,0.042908737407239564,0.3445989564781784,0.3443534029290685,0.26813890318551353,0.04615597637319662,0.4558215969960204,0.45549678866796495,0.042525637962818115
17,0.00016459509053242373,0.0002867656670277499,0.0004922922390280546,0.9990563470034118,0.001108972479539284,0.002375908873255751,0.004078736171818335,0.9924363824753867,0.04054283552214021,0.34581173296707646,0.3455904377796994,0.26805499373108393,0.04358129464103087,0.45711394017166673,0.45682141939981497,0.04248334578748742
18,0.00015591486430376755,0.00028751744571999416,0.0004936962635563231,0.9990628714264199,0.0010505246329865598,0.0023822188367436914,0.0040905084410746235,0.9924767480891952,0.03842425649134265,0.3468975731311302,0.3466981303917356,0.26798003998579156,0.0412787473370744,0.4582695824813186,0.45800610833796757,0.04244556184363944
19,0.0001481045008263356,0.00028819377888170757,0.0004949598881806483,0.9990687418321114,0.0009979305487854261,0.0023878959338975545,0.0041011041564297185,0.9925130693608873,0.036516138505365704,0.3478754246225453,0.34769576843530353,0.2679126684367856,0.03920734560901258,0.4593091300585354,0.4590719252397093,0.04241159909274266
20,0.00014103945839306103,0.0002888054837135252,0.0004961031743979776,0.9990740518834954,0.0009503525855122042,0.0023930308521911327,0.004110691344704273,0.9925459252175923,0.03478859883191056,0.3487606347377507,0.34859897822493735,0.26785178820540134,0.037333940186098424,0.46024924331631234,0.4600359099286281,0.042380906568961145
21,0.00012875570389414982,0.00028986883599817307,0.000498091523152848,0.9990832839369548,0.0008676240638243975,0.002401957791728945,0.004127366127204726,0.992603052017242,0.031781568496142276,0.35030124017157027,0.3501711085206096,0.2677460828116779,0.034077454019500054,0.46188325960683824,0.4617116769110582,0.04232760946260352
22,0.00012338284548475798,0.0002903338621776076,0.0004989614391476618,0.9990873218531899,0.0008314364704213647,0.002405862006257628,0.00413466193722398,0.992628039586097,0.030464942799575907,0.3509757015227651,0.35085945039948246,0.2676999052781766,0.03265337746932472,0.46259776062217206,0.4624445377378897,0.04230432417061353
23,0.00011844049443601769,0.0002907615849208409,0.0004997617707914051,0.9990910361498518,0.000798147104634554,0.002409453181801892,0.004141374415413668,0.9926510252981499,0.02925307962412133,0.3515964479938422,0.3514930145405207,0.26765745784151573,0.0313435656936329,0.4632548984715548,0.46311861707795593,0.04228291875685642
24,0.00011387889500508108,0.00029115631960962126,0.0005005005458638767,0.9990944642395214,0.0007674211548592143,0.0024127675152749847,0.0041475708308749155,0.9926722404989909,0.028133952418982595,0.3521696543347551,0.35207809308387966,0.26761830016238286,0.030134794888349883,0.46386131606341996,0.46374071588731525,0.042263173160914755
25,0.00010965567508487787,0.0002915217426416808,0.0005011846062557221,0.9990976379760177,0.0007389734732843262,0.002415835845921831,0.00415330851910076,0.9926918821616931,0.027097307145227217,0.3527005752943215,0.3526200415280987,0.2675820760323526,0.029015806100092828,0.4644226668525074,0.4643166230604051,0.04224490398699468
26,0.00010573452573283525,0.00029186100166316524,0.0005018198127130893,0.9991005846598908,0.0007125596979030144,0.00241868457977694,0.004158636597281587,0.9927101191250384,0.026134348608595724,0.3531937269970215,0.3531234629370487,0.2675484614573341,0.02797695354101853,0.4649437958372229,0.4648513003134987,0.04222795030825983
27,0.00010208415380289499,0.00029217680983241267,0.0005024112188520116,0.9991033278175128,0.0006879692098407191,0.0024213364792778297,0.0041635974206939265,0.9927270968901875,0.02523748904088231,0.3536530017064728,0.35359232499655635,0.26751718425608867,0.027009925491035605,0.4654288768927923,0.46534902264918715,0.04221217496698498
28,9.867744469486286e-05,0.00029247151761780364,0.0005029632043458286,0.9991058878333414,0.0006650195030568942,0.002423811265234539,0.004168227698277828,0.9927429415334308,0.02440014797533581,0.35408177456928436,0.3540300685996607,0.26748800885571916,0.026107521382973897,0.46588152563901847,0.4658134937386412,0.042197459239366374
